wavelength,throughput
2.3374345585481358,8.252041916138186e-09
2.3381142338961407,8.252067162430206e-09
2.33879390932838,8.252197459565678e-09
2.3394735848397064,8.252406519767978e-09
2.3401532604249797,8.252691431220386e-09
2.3408329360790603,8.25304949254367e-09
2.3415126117968135,8.253344123047752e-09
2.3421922875731065,8.253909960209747e-09
2.342871963402809,8.254502026277252e-09
2.343551639280794,8.255078806918274e-09
2.344231315201939,8.255859564525342e-09
2.3449109911611234,8.256659687503713e-09
2.3455906671532287,8.257661518664652e-09
2.3462703431731406,8.258596172920458e-09
2.346950019215748,8.259699677569778e-09
2.347686860679931,8.260872878375956e-09
2.3483665397513427,8.262025286778864e-09
2.3490462188293697,8.263188287175446e-09
2.3497258979089137,8.2644792445801e-09
2.350405576984877,8.265938772789075e-09
2.351085256052167,8.26768858158436e-09
2.3517649351056917,8.269406392738105e-09
2.352444614140365,8.27109373673083e-09
2.353124293151102,8.272955523616134e-09
2.3538039721328223,8.274922162423878e-09
2.354483651080445,8.276903984665432e-09
2.355163329988898,8.279052887134057e-09
2.3558430088531046,8.281298657503544e-09
2.3565226876679914,8.283693151277404e-09
2.3572023664284982,8.286128681397832e-09
2.3578820451295615,8.288801456985265e-09
2.3585617237661207,8.29142333609194e-09
2.359241402333117,8.294134856448477e-09
2.3599210808254973,8.296974617601148e-09
2.3606007592382094,8.299972780838288e-09
2.3612804375662044,8.303070984335056e-09
2.361960115804437,8.306345481110528e-09
2.3626397939478636,8.309556615550745e-09
2.3633194719914457,8.313073125152302e-09
2.363999149930146,8.316648864646605e-09
2.364678827758931,8.320284682181118e-09
2.36535850547277,8.32409789015577e-09
2.3660381830666335,8.328116669647308e-09
2.3667178605354993,8.332109946844775e-09
2.367397537874344,8.336253362674908e-09
2.3680772150781486,8.340712577250802e-09
2.368756892141898,8.345269806016662e-09
2.3694365690605776,8.350082967132571e-09
2.3701162458291796,8.354887937723797e-09
2.3707959224426958,8.359953237895152e-09
2.371475598896121,8.36530832920012e-09
2.372155275184457,8.370790234904913e-09
2.3728349513027025,8.376348736214146e-09
2.3735146272458647,8.382189382667536e-09
2.3741943030089505,8.388085599169967e-09
2.3748739785869697,8.394410992312793e-09
2.375553653974937,8.400836616621282e-09
2.3762333291678686,8.407485007875879e-09
2.3769130041607855,8.414238791323752e-09
2.377592678948708,8.421269461097896e-09
2.378272353526663,8.428567661484084e-09
2.3789520278896794,8.436096628827156e-09
2.379631702032787,8.44374018267771e-09
2.380311375951022,8.451754849552544e-09
2.3809910496394195,8.460083085357648e-09
2.3816707230930225,8.468554691276368e-09
2.3823503963068724,8.477236789006705e-09
2.3830300692760154,8.486307220911044e-09
2.3837097419955016,8.49560130047598e-09
2.3843894144603808,8.50513768849561e-09
2.3850690866657107,8.515026416261587e-09
2.3857487586065496,8.525111086886156e-09
2.3864284302779555,8.535652277854445e-09
2.387108101674994,8.54645018074358e-09
2.387787772792732,8.557590486618793e-09
2.388467443626238,8.568945365394096e-09
2.3892044499151517,8.580814870796994e-09
2.3898841231169414,8.592972531103555e-09
2.3905637960189763,8.605590398659486e-09
2.391243468616335,8.618460570625148e-09
2.3919231409041037,8.631777744326354e-09
2.39260281287737,8.645462875978932e-09
2.3932824845312237,8.65957062996814e-09
2.3939621558607596,8.674071054436273e-09
2.394641826861073,8.689156119854417e-09
2.3953214975272616,8.704602151518352e-09
2.39600116785443,8.720681758198986e-09
2.396680837837682,8.737208363439237e-09
2.3973605074721243,8.754179982056657e-09
2.3980401767528705,8.7716018654107e-09
2.3987198456750334,8.789398583430105e-09
2.3993995142337297,8.807983475420402e-09
2.400079182424078,8.827128942032036e-09
2.4007588502412025,8.84690068546469e-09
2.4014385176802278,8.867382678595834e-09
2.402118184736283,8.88842428384711e-09
2.402797851404498,8.909931759201396e-09
2.4034775176800096,8.932202179761273e-09
2.4041571835579525,8.955197048042494e-09
2.404836849033468,8.978820977763626e-09
2.4055165141016985,9.003153517459877e-09
2.4061961787577917,9.028260043209905e-09
2.406875842996894,9.05419573544883e-09
2.4075555068141585,9.08076156816129e-09
2.408235170204739,9.108317880170499e-09
2.408914833163795,9.136910389309226e-09
2.4095944956864854,9.166486945349086e-09
2.4102741577679723,9.196807632602557e-09
